contest,candidate,vote_type,precinct,votes
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2311 CIN 23-K,62
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2312 CIN 23-L,18
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2313 CIN 23-M,63
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2314 CIN 23-N,69
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2315 CIN 23-O,109
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2316 CIN 23-P,66
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2317 CIN 23-Q,91
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2318 CIN 23-R,32
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2401 CIN 24-A,86
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2402 CIN 24-B,44
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2403 CIN 24-C,47
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2404 CIN 24-D,46
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2405 CIN 24-E,8
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2406 CIN 24-F,64
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2407 CIN 24-G,50
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2408 CIN 24-H,5
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2409 CIN 24-I,1
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2501 CIN 25-A,23
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2502 CIN 25-B,20
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2503 CIN 25-C,35
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2504 CIN 25-D,29
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2505 CIN 25-E,31
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2506 CIN 25-F,35
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2507 CIN 25-G,13
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2508 CIN 25-H,41
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2509 CIN 25-I,29
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2510 CIN 25-J,29
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2511 CIN 25-K,24
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2512 CIN 25-L,7
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2601 CIN 26-A,42
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2602 CIN 26-B,39
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2603 CIN 26-C,24
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2604 CIN 26-D,22
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2605 CIN 26-E,41
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2606 CIN 26-F,17
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2607 CIN 26-G,27
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2608 CIN 26-H,4
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2609 CIN 26-I,48
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2610 CIN 26-J,53
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2611 CIN 26-K,30
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2612 CIN 26-L,29
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2613 CIN 26-M,19
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2614 CIN 26-N,28
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2615 CIN 26-O,33
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2616 CIN 26-P,71
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2617 CIN 26-Q,26
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2618 CIN 26-R,20
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),YES,Early,2619 CIN 26-S,33
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0101 CIN 1-A,28
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0102 CIN 1-B,89
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0103 CIN 1-C,53
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0104 CIN 1-D,38
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0105 CIN 1-E,47
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0106 CIN 1-F,74
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0107 CIN 1-G,54
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0108 CIN 1-H,29
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0109 CIN 1-I,72
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0110 CIN 1-J,60
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0111 CIN 1-K,38
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0112 CIN 1-L,34
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0113 CIN 1-M,49
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0201 CIN 2-A,39
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0202 CIN 2-B,71
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0203 CIN 2-C,39
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0204 CIN 2-D,91
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0205 CIN 2-E,41
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0206 CIN 2-F,91
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0207 CIN 2-G,36
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0208 CIN 2-H,36
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0209 CIN 2-I,65
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0210 CIN 2-J,52
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0211 CIN 2-K,66
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0301 CIN 3-A,46
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0302 CIN 3-B,37
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0303 CIN 3-C,55
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0304 CIN 3-D,50
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0305 CIN 3-E,59
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0401 CIN 4-A,57
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0402 CIN 4-B,30
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0403 CIN 4-C,39
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0404 CIN 4-D,50
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0405 CIN 4-E,44
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0406 CIN 4-F,39
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0407 CIN 4-G,57
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0408 CIN 4-H,55
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0501 CIN 5-A,48
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0502 CIN 5-B,54
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0503 CIN 5-C,41
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0504 CIN 5-D,75
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0505 CIN 5-E,64
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0506 CIN 5-F,40
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0507 CIN 5-G,55
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0508 CIN 5-H,40
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0509 CIN 5-I,91
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0601 CIN 6-A,41
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0602 CIN 6-B,27
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0603 CIN 6-C,29
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0604 CIN 6-D,39
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0605 CIN 6-E,27
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0701 CIN 7-A,65
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0702 CIN 7-B,18
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0703 CIN 7-C,70
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0704 CIN 7-D,50
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0705 CIN 7-E,35
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0706 CIN 7-F,33
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0707 CIN 7-G,50
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0708 CIN 7-H,54
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0709 CIN 7-I,61
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0710 CIN 7-J,17
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0711 CIN 7-K,54
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0801 CIN 8-A,54
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0802 CIN 8-B,34
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0803 CIN 8-C,63
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0804 CIN 8-D,60
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0901 CIN 9-A,21
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0902 CIN 9-B,58
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0903 CIN 9-C,39
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,0904 CIN 9-D,32
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1001 CIN 10-A,61
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1002 CIN 10-B,18
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1003 CIN 10-C,34
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1101 CIN 11-A,34
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1102 CIN 11-B,16
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1103 CIN 11-C,17
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1104 CIN 11-D,19
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1201 CIN 12-A,13
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1202 CIN 12-B,2
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1203 CIN 12-C,14
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1204 CIN 12-D,15
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1205 CIN 12-E,20
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1301 CIN 13-A,28
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1302 CIN 13-B,40
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1303 CIN 13-C,24
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1304 CIN 13-D,40
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1305 CIN 13-E,55
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1306 CIN 13-F,44
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1307 CIN 13-G,37
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1308 CIN 13-H,2
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1401 CIN 14-A,60
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1402 CIN 14-B,75
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1403 CIN 14-C,17
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1404 CIN 14-D,68
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1405 CIN 14-E,51
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1406 CIN 14-F,70
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1407 CIN 14-G,49
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1408 CIN 14-H,45
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1409 CIN 14-I,43
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1501 CIN 15-A,52
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1502 CIN 15-B,53
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1503 CIN 15-C,29
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1504 CIN 15-D,42
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1505 CIN 15-E,41
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1506 CIN 15-F,26
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1507 CIN 15-G,24
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1508 CIN 15-H,44
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1509 CIN 15-I,23
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1510 CIN 15-J,20
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1601 CIN 16-A,25
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1701 CIN 17-A,60
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1702 CIN 17-B,33
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1703 CIN 17-C,36
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1801 CIN 18-A,37
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1802 CIN 18-B,20
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1901 CIN 19-A,75
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1902 CIN 19-B,131
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1903 CIN 19-C,69
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,1904 CIN 19-D,8
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2001 CIN 20-A,44
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2002 CIN 20-B,40
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2003 CIN 20-C,52
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2004 CIN 20-D,67
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2005 CIN 20-E,24
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2101 CIN 21-A,13
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2102 CIN 21-B,19
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2103 CIN 21-C,30
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2104 CIN 21-D,29
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2105 CIN 21-E,27
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2201 CIN 22-A,55
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2202 CIN 22-B,46
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2203 CIN 22-C,23
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2301 CIN 23-A,52
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2302 CIN 23-B,26
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2303 CIN 23-C,37
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2304 CIN 23-D,69
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2305 CIN 23-E,55
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2306 CIN 23-F,52
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2307 CIN 23-G,41
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2308 CIN 23-H,81
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2309 CIN 23-I,87
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2310 CIN 23-J,64
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2311 CIN 23-K,45
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2312 CIN 23-L,28
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2313 CIN 23-M,50
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2314 CIN 23-N,89
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2315 CIN 23-O,73
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2316 CIN 23-P,85
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2317 CIN 23-Q,27
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2318 CIN 23-R,36
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2401 CIN 24-A,101
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2402 CIN 24-B,90
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2403 CIN 24-C,22
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2404 CIN 24-D,75
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2405 CIN 24-E,12
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2406 CIN 24-F,35
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2407 CIN 24-G,77
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2408 CIN 24-H,3
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2409 CIN 24-I,8
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2501 CIN 25-A,20
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2502 CIN 25-B,34
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2503 CIN 25-C,91
3  PROPOSED CHARTER AMENDMENT CITY OF CINCINNATI (CAMPAIGN FINANCE),NO,Election,2504 CIN 25-D,58
